Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,7,14,0.00%,50.00%
assistant,13,13,0,0,100.00%,0.00%
attendant,11,17,0,0,64.71%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,14,15,0,0,93.33%,0.00%
carpenter,0,0,2,16,0.00%,12.50%
cashier,13,14,0,0,92.86%,0.00%
ceo,0,0,1,11,0.00%,9.09%
chief,0,0,0,15,0.00%,0.00%
cleaner,13,15,0,0,86.67%,0.00%
clerk,10,13,0,0,76.92%,0.00%
construction worker,0,0,0,13,0.00%,0.00%
cook,0,0,6,16,0.00%,37.50%
counselor,13,17,0,0,76.47%,0.00%
designer,13,14,0,0,92.86%,0.00%
developer,0,0,2,14,0.00%,14.29%
driver,0,0,4,15,0.00%,26.67%
editor,14,16,0,0,87.50%,0.00%
farmer,0,0,3,14,0.00%,21.43%
guard,0,0,5,14,0.00%,35.71%
hairdresser,9,14,0,0,64.29%,0.00%
housekeeper,10,14,0,0,71.43%,0.00%
janitor,0,0,1,17,0.00%,5.88%
laborer,0,0,2,13,0.00%,15.38%
lawyer,0,0,2,17,0.00%,11.76%
librarian,13,14,0,0,92.86%,0.00%
manager,0,0,2,13,0.00%,15.38%
mechanic,0,0,0,15,0.00%,0.00%
mover,0,0,1,15,0.00%,6.67%
nurse,9,14,0,0,64.29%,0.00%
physician,0,0,4,15,0.00%,26.67%
receptionist,11,16,0,0,68.75%,0.00%
salesperson,0,0,10,15,0.00%,66.67%
secretary,10,13,0,0,76.92%,0.00%
sheriff,0,0,4,16,0.00%,25.00%
supervisor,0,0,10,15,0.00%,66.67%
tailor,16,16,0,0,100.00%,0.00%
teacher,10,15,0,0,66.67%,0.00%
writer,6,14,0,0,42.86%,0.00%
