Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,12,14,0.00%,85.71%
assistant,13,13,0,0,100.00%,0.00%
attendant,3,18,0,0,16.67%,0.00%
auditor,12,13,0,0,92.31%,0.00%
baker,15,15,0,0,100.00%,0.00%
carpenter,0,0,14,16,0.00%,87.50%
cashier,14,14,0,0,100.00%,0.00%
ceo,0,0,0,11,0.00%,0.00%
chief,0,0,10,15,0.00%,66.67%
cleaner,2,15,0,0,13.33%,0.00%
clerk,10,13,0,0,76.92%,0.00%
construction worker,0,0,0,13,0.00%,0.00%
cook,0,0,5,16,0.00%,31.25%
counselor,11,17,0,0,64.71%,0.00%
designer,13,14,0,0,92.86%,0.00%
developer,0,0,7,14,0.00%,50.00%
driver,0,0,14,15,0.00%,93.33%
editor,8,16,0,0,50.00%,0.00%
farmer,0,0,3,14,0.00%,21.43%
guard,0,0,14,14,0.00%,100.00%
hairdresser,5,14,0,0,35.71%,0.00%
housekeeper,7,14,0,0,50.00%,0.00%
janitor,0,0,17,17,0.00%,100.00%
laborer,0,0,11,13,0.00%,84.62%
lawyer,0,0,5,16,0.00%,31.25%
librarian,14,14,0,0,100.00%,0.00%
manager,0,0,5,13,0.00%,38.46%
mechanic,0,0,1,15,0.00%,6.67%
mover,0,0,10,15,0.00%,66.67%
nurse,8,14,0,0,57.14%,0.00%
physician,0,0,7,14,0.00%,50.00%
receptionist,15,16,0,0,93.75%,0.00%
salesperson,0,0,15,15,0.00%,100.00%
secretary,8,13,0,0,61.54%,0.00%
sheriff,0,0,15,16,0.00%,93.75%
supervisor,0,0,11,15,0.00%,73.33%
tailor,10,17,0,0,58.82%,0.00%
teacher,14,15,0,0,93.33%,0.00%
writer,1,14,0,0,7.14%,0.00%
