Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,21,0,0,76.19%,0.00%
analyst,0,0,11,19,0.00%,57.89%
assistant,14,19,0,0,73.68%,0.00%
attendant,16,21,0,0,76.19%,0.00%
auditor,15,19,0,0,78.95%,0.00%
baker,13,20,0,0,65.00%,0.00%
carpenter,0,0,13,20,0.00%,65.00%
cashier,14,20,0,0,70.00%,0.00%
ceo,0,0,10,18,0.00%,55.56%
chief,0,0,10,20,0.00%,50.00%
cleaner,16,20,0,0,80.00%,0.00%
clerk,11,20,0,0,55.00%,0.00%
construction worker,0,0,12,20,0.00%,60.00%
cook,0,0,13,20,0.00%,65.00%
counselor,12,20,0,0,60.00%,0.00%
designer,15,20,0,0,75.00%,0.00%
developer,0,0,10,20,0.00%,50.00%
driver,0,0,12,20,0.00%,60.00%
editor,14,20,0,0,70.00%,0.00%
farmer,0,0,10,20,0.00%,50.00%
guard,0,0,12,19,0.00%,63.16%
hairdresser,11,20,0,0,55.00%,0.00%
housekeeper,12,19,0,0,63.16%,0.00%
janitor,0,0,15,21,0.00%,71.43%
laborer,0,0,16,20,0.00%,80.00%
lawyer,0,0,13,19,0.00%,68.42%
librarian,13,20,0,0,65.00%,0.00%
manager,0,0,10,19,0.00%,52.63%
mechanic,0,0,10,20,0.00%,50.00%
mover,0,0,13,20,0.00%,65.00%
nurse,12,20,0,0,60.00%,0.00%
physician,0,0,13,19,0.00%,68.42%
receptionist,16,20,0,0,80.00%,0.00%
salesperson,0,0,11,20,0.00%,55.00%
secretary,8,19,0,0,42.11%,0.00%
sheriff,0,0,10,20,0.00%,50.00%
supervisor,0,0,9,20,0.00%,45.00%
tailor,15,21,0,0,71.43%,0.00%
teacher,15,20,0,0,75.00%,0.00%
writer,13,19,0,0,68.42%,0.00%
