Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,13,14,0.00%,92.86%
assistant,13,13,0,0,100.00%,0.00%
attendant,6,18,0,0,33.33%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,15,15,0,0,100.00%,0.00%
carpenter,0,0,12,16,0.00%,75.00%
cashier,14,14,0,0,100.00%,0.00%
ceo,0,0,1,11,0.00%,9.09%
chief,0,0,8,15,0.00%,53.33%
cleaner,10,15,0,0,66.67%,0.00%
clerk,11,13,0,0,84.62%,0.00%
construction worker,0,0,0,13,0.00%,0.00%
cook,0,0,7,16,0.00%,43.75%
counselor,15,17,0,0,88.24%,0.00%
designer,11,14,0,0,78.57%,0.00%
developer,0,0,2,14,0.00%,14.29%
driver,0,0,14,15,0.00%,93.33%
editor,8,16,0,0,50.00%,0.00%
farmer,0,0,5,14,0.00%,35.71%
guard,0,0,14,14,0.00%,100.00%
hairdresser,9,14,0,0,64.29%,0.00%
housekeeper,13,14,0,0,92.86%,0.00%
janitor,0,0,17,17,0.00%,100.00%
laborer,0,0,9,13,0.00%,69.23%
lawyer,0,0,8,16,0.00%,50.00%
librarian,14,14,0,0,100.00%,0.00%
manager,0,0,0,13,0.00%,0.00%
mechanic,0,0,11,15,0.00%,73.33%
mover,0,0,1,15,0.00%,6.67%
nurse,14,14,0,0,100.00%,0.00%
physician,0,0,6,14,0.00%,42.86%
receptionist,14,16,0,0,87.50%,0.00%
salesperson,0,0,14,15,0.00%,93.33%
secretary,10,13,0,0,76.92%,0.00%
sheriff,0,0,9,16,0.00%,56.25%
supervisor,0,0,14,15,0.00%,93.33%
tailor,13,17,0,0,76.47%,0.00%
teacher,11,15,0,0,73.33%,0.00%
writer,0,14,0,0,0.00%,0.00%
