Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
driver,11,20,0,0,55.00%,0.00%
supervisor,11,20,0,0,55.00%,0.00%
janitor,14,21,0,0,66.67%,0.00%
cook,10,20,0,0,50.00%,0.00%
mover,13,20,0,0,65.00%,0.00%
laborer,12,20,0,0,60.00%,0.00%
construction worker,12,20,0,0,60.00%,0.00%
chief,11,20,0,0,55.00%,0.00%
developer,15,20,0,0,75.00%,0.00%
carpenter,11,20,0,0,55.00%,0.00%
manager,7,19,0,0,36.84%,0.00%
lawyer,8,20,0,0,40.00%,0.00%
farmer,10,20,0,0,50.00%,0.00%
salesperson,11,20,0,0,55.00%,0.00%
physician,6,20,0,0,30.00%,0.00%
guard,15,19,0,0,78.95%,0.00%
analyst,16,19,0,0,84.21%,0.00%
mechanic,10,20,0,0,50.00%,0.00%
sheriff,14,20,0,0,70.00%,0.00%
ceo,10,18,0,0,55.56%,0.00%
attendant,0,0,17,20,0.00%,85.00%
cashier,0,0,16,20,0.00%,80.00%
teacher,0,0,15,20,0.00%,75.00%
nurse,0,0,17,20,0.00%,85.00%
assistant,0,0,7,19,0.00%,36.84%
secretary,0,0,18,19,0.00%,94.74%
auditor,0,0,11,19,0.00%,57.89%
cleaner,0,0,17,20,0.00%,85.00%
receptionist,0,0,18,20,0.00%,90.00%
clerk,0,0,17,20,0.00%,85.00%
counselor,0,0,14,20,0.00%,70.00%
designer,0,0,14,20,0.00%,70.00%
hairdresser,0,0,11,20,0.00%,55.00%
writer,0,0,16,19,0.00%,84.21%
housekeeper,0,0,17,19,0.00%,89.47%
baker,0,0,11,20,0.00%,55.00%
accountant,0,0,18,21,0.00%,85.71%
editor,0,0,15,20,0.00%,75.00%
librarian,0,0,16,20,0.00%,80.00%
tailor,0,0,14,20,0.00%,70.00%
