humanLabel,genderLabel,label
Helmut Thieltges,male,cook
Eyck Zimmer,male,cook
Heinz Winkler,male,cook
Silvio Kuhnert,male,cook
Johann Gundel,male,cook
Heinz Beck,male,cook
Frank Rosin,male,cook
Vincent Klink,male,cook
Chimamanda Ngozi Adichie,female,cook
Typhoid Mary,female,cook
Valerie Bertinelli,female,cook
Monica Dickens,female,cook
Mārtiņš Rītiņš,male,cook
Kelis,female,cook
Achim Schwekendiek,male,cook
Alex Atala,male,cook
Nathan Myhrvold,male,cook
Anthony Bourdain,male,cook
Rose Gray,female,cook
Alice Waters,female,cook
Simone Ortega,female,cook
Andreas C. Studer,male,cook
Andreas Caminada,male,cook
Andreas Döllerer,male,cook
Andreas Geitl,male,cook
Andreas Krolik,male,cook
Andreas Pöschel,male,cook
Andreas Schweiger,male,cook
Andreas Wojta,male,cook
Andree Köthe,male,cook
Alexandra Zazzi,female,cook
André Jaeger,male,cook
Sully Diaz,female,cook
Gry Kirsti Skjønhaug,female,cook
Roger Vergé,male,cook
Quique Dacosta,male,cook
Choumicha Chafaï,female,cook
Eliza Acton,female,cook
Fannie Farmer,female,cook
Anna Wehinger,female,cook
Anna Sgroi,female,cook
Knud Andersen,male,cook
René Redzepi,male,cook
José Ramón Elizondo,male,cook
Maciej Kuroń,male,cook
Émile Jung,male,cook
Armin Roßmeier,male,cook
Doris Miller,male,cook
Ove Verner Hansen,male,cook
Cesare Ripa,male,cook
Ateshbaz i-Veli,male,cook
C. József Dobos,male,cook
Luigi Veronelli,male,cook
Beat Bolliger,male,cook
Benjamin Parth,male,cook
Bernd Arold,male,cook
Bernhard Diers,male,cook
Bernhard Reiser,male,cook
Bertha Gumprich,female,cook
Berthold Bühler,male,cook
Bertold Siber,male,cook
Péter Buday,male,cook
Martin Baudrexel,male,cook
Martin Fauster,male,cook
Martin Herrmann,male,cook
Martin Obermarzoner,male,cook
Martin Rehmann,male,cook
Martin Scharff,male,cook
Martin Öxle,male,cook
Matthias Buchholz,male,cook
Matthias Diether,male,cook
Matthias Schmidt,male,cook
Michael Fell,male,cook
Mike Süsser,male,cook
Norbert Kostner,male,cook
Norbert Niederkofler,male,cook
Ole Plogstedt,male,cook
Oliver Heilmeyer,male,cook
Otto Koch,male,cook
Pappa Bear,male,cook
"Soamsawali, Princess Suddhanarinatha",female,cook
Patrick Bittner,male,cook
Patrick Spies,male,cook
Patrik Jaros,male,cook
Peter Fitzek,male,cook
Peter Knogl,male,cook
Peter Nöthel,male,cook
Peter Scharff,male,cook
Rainer-Maria Halbedel,male,cook
Rainer Bröking,male,cook
Ralf Bos,male,cook
René Lasserre,male,cook
Rolf Straubinger,male,cook
Rudolf Katzenberger,male,cook
Darren Mathews,male,cook
Sante de Santis,male,cook
Pierre Gagnaire,male,cook
Procopio Cutò,male,cook
Sebastian Zier,male,cook
Eric Ripert,male,cook
Siegfried Rockendorf,male,cook
François Massialot,male,cook
Danny Horseele,male,cook
Stefan Manier,male,cook
Stefan Neugebauer,male,cook
Steffen Henssler,male,cook
Steffen Mezger,male,cook
Stephan Brandl,male,cook
Stevan Paul,male,cook
Bill Granger,male,cook
Susanna Eger,female,cook
Susanne Vössing,female,cook
Sven Elverfeld,male,cook
Sven Messerschmidt,male,cook
Sybille Schönberger,female,cook
Benoît Violier,male,cook
Thomas Kammeier,male,cook
Thomas Kellermann,male,cook
Tillmann Hahn,male,cook
Tim Raue,male,cook
Stéphane Buyens,male,cook
Tobias Funke,male,cook
Tommy Möbius,male,cook
Ulrich Heimann,male,cook
Virgilio Martínez,male,cook
Vieze Fur,male,cook
Walter Bickel,male,cook
Walter Eselböck,male,cook
Wolfgang Becker,male,cook
Wolfgang Raub,male,cook
Wolfgang Staudenmaier,male,cook
Ivan Kharitonov,male,cook
Yves Ollech,male,cook
Albert Bouley,male,cook
Mario Batali,male,cook
Alexandro Pape,male,cook
Gabrielle Hamilton,female,cook
Mayra Rosales,female,cook
Jeroen Meus,male,cook
Haldhar Nag,male,cook
