humanLabel,genderLabel,label
Vladislav Vaculka,male,salesperson
Josep Maria Puig Doria,male,salesperson
Ramon Sunyer Clarà,male,salesperson
Vicenç Prat i Brunet,male,salesperson
Arthur David-Andersen,male,salesperson
Václav Plechatý,male,salesperson
František Anýž,male,salesperson
František Khynl,male,salesperson
Christoffel van Dijck,male,salesperson
Christoph Jamnitzer,male,salesperson
István Iván,male,salesperson
Katalin Katona,female,salesperson
Borgino dal Pozzo,male,salesperson
Fortunato Pio Castellani,male,salesperson
Conrad Anton Beumers,male,salesperson
Adolf Laky,male,salesperson
Nicola da Guardiagrele,male,salesperson
Martin Holtzhey,male,salesperson
Martin Schrot,male,salesperson
David Ferdinand Howaldt,male,salesperson
Otto Ohlsson,male,salesperson
Ernst Hanssen,male,salesperson
Horst Urban,male,salesperson
Petrus Gallicus,male,salesperson
Vincenzo Danti,male,salesperson
Johann Müller,male,salesperson
József Péri,male,salesperson
József Pölöskei,male,salesperson
Katalin Reményi,female,salesperson
Paul Telge,male,salesperson
Renee Nele,female,salesperson
Josef Bidlingmaier,male,salesperson
Elisabeth Treskow,female,salesperson
Hans Lencker,male,salesperson
Lipót Strelisky,male,salesperson
Joachim Szvetnik,male,salesperson
Eilbertus of Cologne,male,salesperson
Martin Heinrich Wilkens,male,salesperson
Rudolf Dentler,male,salesperson
Urs Graf junior,male,salesperson
Endres Dürer,male,salesperson
Albert Sous,male,salesperson
Erhard Brepohl,male,salesperson
Heinrich Hufnagel,male,salesperson
Ernst Christoph Steinhäußer,male,salesperson
Ernst Riegel,male,salesperson
Juste-Aurèle Meissonnier,male,salesperson
Henrik Wigström,male,salesperson
Wilhelm Nagel,male,salesperson
Nicholas of Verdun,male,salesperson
Hans Ryssenberch,male,salesperson
Johann George Hossauer,male,salesperson
Sigefridus,male,salesperson
Franz Wilhelm van den Wyenbergh,male,salesperson
Goudji,male,salesperson
Franz Rickert,male,salesperson
Franz Wandinger,male,salesperson
Friedrich Becker,male,salesperson
Pier Jacopo Alari Bonacolsi,male,salesperson
Péter Zsuffa,male,salesperson
Margret Grewenig,female,salesperson
Hieronymus Holper,male,salesperson
Gatja Helgart Rothe,female,salesperson
Georg Abeler,male,salesperson
Georg Honauer,male,salesperson
Jörg Seld,male,salesperson
George Heriot,male,salesperson
Jörg Herz,male,salesperson
Johann Christian Neuber,male,salesperson
Jean Jacques Coulin,male,salesperson
Francesc Masriera Manovens,male,salesperson
Godefroid de Claire,male,salesperson
Rudolf Bott,male,salesperson
Gusmin of Cologne,male,salesperson
Salvestro del Pollaiuolo,male,salesperson
Ptahmose,male,salesperson
Hans Reinhart,male,salesperson
Hans von Reutlingen,male,salesperson
Joseph Ignaz Saler,male,salesperson
Heinrich Lautensack,male,salesperson
Vincent Coulin,male,salesperson
Heinrich Zilliken,male,salesperson
Henri Bouilhet,male,salesperson
Henrik Humann,male,salesperson
Herbert Zeitner,male,salesperson
Hermann Jünger,male,salesperson
Alois Kreiten,male,salesperson
Meinrad Burch-Korrodi,male,salesperson
Alfred Dörner,male,salesperson
Rudolf Gscheidlinger,male,salesperson
Israhel Meckenem,male,salesperson
Jan Vermeyen,male,salesperson
Jean Coulin,male,salesperson
Meister des Tragaltars von Stavelot,male,salesperson
Jobst Freudner,male,salesperson
Martin Guillaume Biennais,male,salesperson
Johann Jakob Adam,male,salesperson
Johann Melchior Dinglinger,male,salesperson
Johann Michael Wilm,male,salesperson
Josef Tannheimer,male,salesperson
Robert Schade,male,salesperson
Jost Dages,male,salesperson
Karl Berthold,male,salesperson
Johann Karl Bossard,male,salesperson
Paul de Lamerie,male,salesperson
Kurt Aepli,male,salesperson
Daniel Swarovski,male,salesperson
Philippe Van Dievoet,male,salesperson
William Burges,male,salesperson
Peter Carl Fabergé,male,salesperson
Benvenuto Cellini,male,salesperson
Eugeni Jofra i Bafalluy,male,salesperson
Monrad Wallgren,male,salesperson
Georg Friedrich Strass,male,salesperson
Galeazzo Mondella,male,salesperson
René Lalique,male,salesperson
Andreas Fortner,male,salesperson
Loulou de la Falaise,female,salesperson
Jules Porgès,male,salesperson
Jade Jagger,female,salesperson
Charles Lewis Tiffany,male,salesperson
Leó Frankel,male,salesperson
Silke,female,salesperson
August Freytag,male,salesperson
Károly Bachruch,male,salesperson
Bakenurner,male,salesperson
Bernhard Höfel,male,salesperson
Wenzel Hablik,male,salesperson
Nándor Fettich,male,salesperson
Carl Spahr,male,salesperson
Chaiemipat,male,salesperson
Hubert Duprat,male,salesperson
Johann Conrad Geiss,male,salesperson
Adolf Laky,male,salesperson
Paul Telge,male,salesperson
Hans Lencker,male,salesperson
Gustav Fabergé,male,salesperson
Esther Liebmann,female,salesperson
Friedrich Becker,male,salesperson
Jörg Herz,male,salesperson
Johann Christian Neuber,male,salesperson
Francesc Masriera Manovens,male,salesperson
Heinrich Schneider,male,salesperson
Hermann Jünger,male,salesperson
Pieter van Abeele,male,salesperson
Jan Vermeyen,male,salesperson
Johann Melchior Dinglinger,male,salesperson
Karl Krall,male,salesperson
Larry Schuba,male,salesperson
Laurence Graff,male,salesperson
Leszek Bubel,male,salesperson
Edmond Henri Becker,male,salesperson
Léon Hatot,male,salesperson
Menumes,male,salesperson
Peter,male,salesperson
Sarah Fabergé,female,salesperson
Gerardo Sacco,male,salesperson
Theo Fabergé,male,salesperson
Lorenz Bäumer,male,salesperson
Hans Eworth,male,salesperson
Harry Winston,male,salesperson
Suzanne Belperron,female,salesperson
Louis Cartier,male,salesperson
Alexandre Reza,male,salesperson
Alfred Cartier,male,salesperson
André Hardellet,male,salesperson
Antoine Dupré,male,salesperson
Balthazar-Philippe Vandive,male,salesperson
David Mor,male,salesperson
Joris Vezelaer,male,salesperson
Charles Jacqueau,male,salesperson
Charles Murat,male,salesperson
Cyrille Duquet,male,salesperson
Jean Dinh Van,male,salesperson
Edmé Champion,male,salesperson
Eugène Fournière,male,salesperson
François Joncour,male,salesperson
Frédéric Boucheron,male,salesperson
Michael Horse,male,salesperson
Félix Roulin,male,salesperson
Georges Schwartz,male,salesperson
Gilbert Albert,male,salesperson
Henry Louis Champy,male,salesperson
Hélène Courtaigne Delalande,female,salesperson
Jean Boggio,male,salesperson
Jean Dampt,male,salesperson
Jean Henri Prosper Pouget,male,salesperson
Jeanne Toussaint,female,salesperson
Joseph-Célestin Nadon,male,salesperson
Joseph Étienne Letellier de Saint-Just,male,salesperson
Jules Paul Brateau,male,salesperson
Laurent Ronde,male,salesperson
Lucien Mengaud,male,salesperson
Lucien Pichon,male,salesperson
Lucienne Lazon,female,salesperson
Marcel-Lenoir,male,salesperson
Anton Cañellas,male,salesperson
Noémie Doge,female,salesperson
Pascal Morabito,male,salesperson
Philippe Tournaire,male,salesperson
Pierre Sterlé,male,salesperson
Pierre Ucciani,male,salesperson
Larry Schuba,male,salesperson
Hans Lem,male,salesperson
Leonhart Baumeister,male,salesperson
Leopold Weininger,male,salesperson
Edmond Henri Becker,male,salesperson
Giacomo Giovanni Biliverti,male,salesperson
Ludwig Becker,male,salesperson
Léonard Limousin,male,salesperson
Joseph Germain Dutalis,male,salesperson
Martin Martini,male,salesperson
Medamus,male,salesperson
Meister der Tulpenkuppen,male,salesperson
George Henri Lantman,male,salesperson
Hirsz Leybowicz,male,salesperson
Jean Dunand,male,salesperson
Niklas Dürer,male,salesperson
Philippe Wolfers,male,salesperson
Paul Rudolf Kraemer,male,salesperson
Paulus Stein,male,salesperson
Lazar Bohsha,male,salesperson
Philippe Thomassin,male,salesperson
Pierre Gouthière,male,salesperson
Jacob Vezelaer,male,salesperson
Étienne Delaune,male,salesperson
Joseph Lecocqmartin,male,salesperson
Reinhold Vasters,male,salesperson
Mogens Ballin,male,salesperson
Jan Kriege,male,salesperson
Menno Meyer,male,salesperson
Gerardo Sacco,male,salesperson
Solomon Abenaes,male,salesperson
Thomas Germain,male,salesperson
Tobias Volkmer,male,salesperson
Tommaso Ghirlandaio,male,salesperson
Jean Jacobs,male,salesperson
Hans Eworth,male,salesperson
Paolo Romano,male,salesperson
Hugo d'Oignies,male,salesperson
Joop Beljon,male,salesperson
Victor Huster,male,salesperson
Volvinius,male,salesperson
Walter Kramer,male,salesperson
Wenzel von Olmütz,male,salesperson
William Ged,male,salesperson
Jan van Beuningen,male,salesperson
Wolfgang Glaner,male,salesperson
Marijcke Visser,female,salesperson
Gaspard van der Heyden,male,salesperson
Aaron Columbus Burr,male,salesperson
Alfred Pollak,male,salesperson
Adam Silo,male,salesperson
Graba',male,salesperson
Adam van Vianen,male,salesperson
Suzanne Belperron,female,salesperson
Johannes Lutma,male,salesperson
Carel Joseph Anton Begeer,male,salesperson
Abraham de Bruyn,male,salesperson
Adolphe-Victor Geoffroy-Dechaume,male,salesperson
Albert Duraz,male,salesperson
Alessandro Castellani,male,salesperson
Alexis I Loir,male,salesperson
Emilio García Armenta,male,salesperson
Enrique de Arfe,male,salesperson
Ambroise-François Germain,male,salesperson
Philippe Joseph Allard,male,salesperson
Antonio Baboccio da Piperno,male,salesperson
Archibald Knox,male,salesperson
Auguste Mollard,male,salesperson
Balthazar-Philippe Vandive,male,salesperson
Joris Vezelaer,male,salesperson
Charles Norbert Roettiers,male,salesperson
Charles Wagner,male,salesperson
Christian Fjerdingstad,male,salesperson
Claude Ballin,male,salesperson
Claude Ballin,male,salesperson
Cyrille Duquet,male,salesperson
Daniel Jeanrichard,male,salesperson
Emmanuel Frédéric Imlin,male,salesperson
Ferdinand Kauffer,male,salesperson
François-Désiré Froment-Meurice,male,salesperson
François-Thomas Germain,male,salesperson
Frédéric Boucheron,male,salesperson
Giacomo Raibolini,male,salesperson
Giovanbattista Branconio dell'Aquila,male,salesperson
Giovanni di Turino,male,salesperson
Giulio Raibolini,male,salesperson
Guccio di Mannaia,male,salesperson
Guillaume III Loir,male,salesperson
Guillaume II Loir,male,salesperson
Guillaume I Loir,male,salesperson
Henri Duponchel,male,salesperson
Adrianus Bonebakker,male,salesperson
Jean-Alexandre Chertier,male,salesperson
Jean-Bernard Descomps,male,salesperson
Jean-Claude Chambellan Duplessis,male,salesperson
Jean-François Bautte,male,salesperson
Jean Després,male,salesperson
Jean Henri Prosper Pouget,male,salesperson
Jean de Lens,male,salesperson
Jean-Baptiste-Claude Odiot,male,salesperson
Antoine Dassier,male,salesperson
Abu Tahir al-Sa'igh,male,salesperson
Connie Verrusio,female,salesperson
Deb Karash,female,salesperson
Edna Madera,female,salesperson
Elaine Rader,female,salesperson
Emiko Shinozaki,female,salesperson
JacQueline Sanchez,female,salesperson
Jean Jinsil Cho,female,salesperson
Judith Hoyt,female,salesperson
K. Meta Reintsema,female,salesperson
Karen Gilbert,female,salesperson
Kate Eickelberg,female,salesperson
Kathleen Lamberti,female,salesperson
Kelsey Larsen,female,salesperson
Lauren Markley,female,salesperson
Linda Kindler Priest,female,salesperson
Mary Donald,female,salesperson
Mary Filapek,female,salesperson
Sadie Wang,female,salesperson
Sheko Kirby,female,salesperson
Sheko Kirby,male,salesperson
Brandon Holschuh,male,salesperson
Devta Doolan,male,salesperson
Eric Silva,male,salesperson
Hongsock Lee,male,salesperson
Sarkis Chouljian,male,salesperson
Emanuela Duca,female,salesperson
Ben Neubauer,male,salesperson
Judith Kinghorn,female,salesperson
Eliana Arenas,female,salesperson
Dan Simplicio,male,salesperson
Lipa Feingold,male,salesperson
Peter Minturn,male,salesperson
Robert Dhaemers,male,salesperson
Vladislav Urban,male,salesperson
Vlasta Šolcová,female,salesperson
Kenneth Begay,male,salesperson
William Bain Ross,male,salesperson
Taccjana Aljakseeŭna Rudėnka,female,salesperson
Wenjing Yang,female,salesperson
Alice Kresse,female,salesperson
Amerinda Alpern,female,salesperson
Réjane Pratelli,female,salesperson
Andrea Banks,female,salesperson
Beth Aimée,female,salesperson
Boline Strand,female,salesperson
Caitlin Albritton,female,salesperson
Carolina Gomes,female,salesperson
Christina Goodman,female,salesperson
Cindy Liebel,female,salesperson
Daniela Boari,female,salesperson
Denise Betesh,female,salesperson
Elizabeth Ann Tokoly,female,salesperson
Elizabeth Farber,female,salesperson
Enyo Farabi,trans woman,salesperson
Esther Sullivan,female,salesperson
Barb Baur,female,salesperson
Gabrielle Gould,female,salesperson
Carole Grisham,female,salesperson
Holly Anne Mitchell,female,salesperson
Jean-Pierre Hsu,male,salesperson
Ilene Schwartz,female,salesperson
Jenne Rayburn,female,salesperson
Julie Long Gallegos,female,salesperson
Keiko Mita,female,salesperson
Kathryn Bowman,female,salesperson
Kit Burke-Smith,female,salesperson
Laura Wood,female,salesperson
Linda May,female,salesperson
Manda Wylde,female,salesperson
Marianne Jennings,female,salesperson
Dennis Ray,male,salesperson
Pauletta Brooks,female,salesperson
Kimberly Huestis,female,salesperson
Rebecca Myers,female,salesperson
Megan Wiley,female,salesperson
Stuart Coffee,male,salesperson
Susan Hoge,female,salesperson
