humanLabel,genderLabel,label
Ronald J. Daniels,male,ceo
Samuel Harrison Greene,male,ceo
Samuel O. Thier,male,ceo
Samuel Palmer Brooks,male,ceo
Stephen Beal,male,ceo
Steven G. Poskanzer,male,ceo
Wendell Nedderman,male,ceo
William Caldwell Anderson,male,ceo
William Edwards Huntington,male,ceo
William P. Gerberding,male,ceo
William Vermillion Houston,male,ceo
Ng Ching-fai,male,ceo
Fan Mingwu,male,ceo
Nancy Cantor,female,ceo
Daniel Tse,male,ceo
Tang Jiliang,male,ceo
Yangsheng Xu,male,ceo
Li Jianbao,male,ceo
Robert L. Hardesty,male,ceo
Robert L. Stanton,male,ceo
Lunsford L. Lomax,male,ceo
Frederick Corbet Davison,male,ceo
Gu Guanqun,male,ceo
Richard J. Grosh,male,ceo
Richard R. Wright,male,ceo
Harrison Randolph,male,ceo
Alfred Atkinson,male,ceo
George Alan Works,male,ceo
Jess H. Davis,male,ceo
Eliza Greene Metcalf Radeke,female,ceo
Charles B. Boynton,male,ceo
Jules Maidoff,male,ceo
"John McCardell, Jr.",male,ceo
Bunsom Martin,male,ceo
Liu Zhigang,male,ceo
Gordon Van Wylen,male,ceo
Susan Herbst,female,ceo
David H. Porter,male,ceo
Charles Keyser Edmunds,male,ceo
Claire Sterk,female,ceo
Pan Jiluan,male,ceo
Tasuku Harada,male,ceo
Frederic Lister Burk,male,ceo
Tano Jōdai,female,ceo
Bodour bint Sultan bin Muhammad Al Qasimi,female,ceo
Cindy Ross,female,ceo
Theodore B. Comstock,male,ceo
David L. MacFarlane,male,ceo
William Fremont Blackman,male,ceo
Martha Pollack,female,ceo
Sorin Crișan,male,ceo
Xu Mingzhi,male,ceo
Joan Leitzel,female,ceo
John Robinson Frazier,male,ceo
Henry Noble MacCracken,male,ceo
Rahmat Shoureshi,male,ceo
Joel Tabora,male,ceo
Homer D. Babbidge Jr.,male,ceo
Raymonde Gagné,female,ceo
Prince Lucien Campbell,male,ceo
Edward Smith Parsons,male,ceo
Fuh-Sheng Shieu,male,ceo
Ramata Ly-Bakayoko,female,ceo
E. Wilson Lyon,male,ceo
Ray M. Bowen,male,ceo
Brian Hemphill,male,ceo
Lee Hall,female,ceo
Douglas MacAgy,male,ceo
Beck A. Taylor,male,ceo
G. Gabrielle Starr,female,ceo
George T. French Jr.,male,ceo
Mohamed nagy al mahallawi,male,ceo
Anna Bliss,female,ceo
Henry Louis Smith,male,ceo
Carol Quillen,female,ceo
Patrick Molle,male,ceo
Cyrus G. Baldwin,male,ceo
Thomas F. Holgate,male,ceo
