humanLabel,genderLabel,label
Dov Peleg,male,secretary
Morntehai kaspi,male,secretary
Moshe Rosetti,male,secretary
Marguerite LeHand,female,secretary
Leni Robredo,female,secretary
Mary Gladstone,female,secretary
Yehiel Kadishai,male,secretary
Matha Óg Ó Maoil Tuile,male,secretary
Benyamin Wolfowitz,male,secretary
Michael Hodgins,male,secretary
Mu'ayyad fi'l-Din al-Shirazi,male,secretary
Nancy Carole Tyler,female,secretary
Noeleen Heyzer,female,secretary
Moshe Zertal,male,secretary
Olaf C. Olsen,male,secretary
Peggielene Bartels,female,secretary
Phyllis Gates,female,secretary
Lo Kwee-seong,male,secretary
Pyarelal Nayyar,male,secretary
Ray Strachey,female,secretary
Roger Baynes,male,secretary
Rosamund Stanhope,female,secretary
Ryota Takeda,male,secretary
Seiichiro Murakami,male,secretary
Shimon Sheves,male,secretary
Shuichi Takatori,male,secretary
"Sir Archibald Acheson, 1st Baronet",male,secretary
Susan Clough,female,secretary
Susan Hibbert,female,secretary
江藤拓,male,secretary
Thomas Bedyll,male,secretary
Thomas Grant,male,secretary
Ferdinand de Grève,male,secretary
Gordon Canfield,male,secretary
Franz Lepinski,male,secretary
Lilli Zapf,female,secretary
Käthe Tucholla,female,secretary
Gertrud Slottke,female,secretary
George Bernard Flahiff,male,secretary
Johann Daniel Ramberg,male,secretary
Walter Nägeli,male,secretary
Hilde Berger,female,secretary
Helene Schwarz,female,secretary
Herbert Covington Bonner,male,secretary
Hermann Boddin,male,secretary
Howard Aldridge Coffin,male,secretary
Nora Platiel,female,secretary
Esther Hoffe,female,secretary
Irene Wosikowski,female,secretary
Sebastian Aitinger,male,secretary
James Charles McGuigan,male,secretary
Omar Truman Burleson,male,secretary
Urban Heckenstaller,male,secretary
Karl Bräuning,male,secretary
Giuseppe Ghezzi,male,secretary
Edward F. Sands,male,secretary
Käthe Dahlem,female,secretary
Yanosuke Narazaki,male,secretary
Tikken Manus,female,secretary
Liselotte Orff,female,secretary
Manuel Palafox,male,secretary
Margarethe Nimsch,female,secretary
Maria Husemann,female,secretary
Marion T. Bennett,male,secretary
Huibrecht van der Clusen,male,secretary
Ion Negoițescu,male,secretary
Johan de Brune,male,secretary
Rebecca Loos,female,secretary
Ticky Holgado,male,secretary
Rudolph Patkul,male,secretary
Ruth Oesterreich,female,secretary
Stien van Bilderbeek,female,secretary
Johan Julsing,male,secretary
Recemundus,male,secretary
Abul-Fazl Bayhaqi,male,secretary
Jöran Persson,male,secretary
Alan Don,male,secretary
Joseph Hansen,male,secretary
Else Krüger,female,secretary
Suzette Haden Elgin,female,secretary
Baudouin Janssens de Bisthoven,male,secretary
Jean-Baptiste Bidegain,male,secretary
Amé Lévrier,male,secretary
Aracy de Carvalho,female,secretary
Arlette Elkaïm-Sartre,female,secretary
Hedwig Potthast,female,secretary
Isabel Prinz,female,secretary
B. Blok,male,secretary
Charles Poncy,male,secretary
Christophe-Jérôme Barthélemy-Lapommeraye,male,secretary
Claude François de Méneval,male,secretary
Eva Fastag,female,secretary
François Bigras,male,secretary
Françoise Henneron,female,secretary
José de Grimaldo,male,secretary
Guillaume de Saint-André,male,secretary
Jacques Félix,male,secretary
Jean-Baptiste Moheau,male,secretary
Jo Heims,female,secretary
Johannes Walter Sluse,male,secretary
Jérôme Tharaud,male,secretary
Jòrgi Reboul,male,secretary
Leclerc de Sept-Chênes,male,secretary
Aimé Martin,male,secretary
Louis-François Faur,male,secretary
Louis Freeland Post,male,secretary
Lucie Coutaz,female,secretary
Ludwig Philipp Hahn,male,secretary
Toshiaki Endo,male,secretary
Walter E. Rees,male,secretary
Wilfrid Short,male,secretary
William Mounsey,male,secretary
William Trumbull,male,secretary
Yasuhiro Ozato,male,secretary
金子恭之,male,secretary
Zelda La Grange,female,secretary
Zhang Yufeng,female,secretary
Estera Daum,female,secretary
Q9292033,male,secretary
Tadeusz Samuel Smoleński,male,secretary
Lyda Monteiro da Silva,female,secretary
Antonín Schenk,male,secretary
Vũ Kỳ,male,secretary
Mélinée Manouchian,female,secretary
Joseph Coole,male,secretary
Jean-Aimé de Chavigny,male,secretary
Adolphe Demets,male,secretary
Hiroyuki Togashi,male,secretary
Sōichirō Okuno,male,secretary
Hideki Miyauchi,male,secretary
Mitsuyo Matsuda,male,secretary
Mito Kakizawa,male,secretary
Utako Mizuma,female,secretary
Masayoshi Yagami,male,secretary
Q11584836,female,secretary
Satoshi Fujimaru,male,secretary
Takashi Fujiwara,male,secretary
Kosaburo Nishime,male,secretary
Yukihiko Akutsu,male,secretary
Nobuyuki Baba,male,secretary
Takahiro Kuroiwa,male,secretary
Ewa Wanda Ostrowska,female,secretary
Jaakko Teitti,male,secretary
Abu Sahl Zawzani,male,secretary
Ahmad ibn Abi Khalid al-Ahwal,male,secretary
Mariette Korsrud,female,secretary
Jiří Oberfalzer,male,secretary
Olga Masaryková,female,secretary
Margot Wölk,female,secretary
Florencio Sanz Baeza,male,secretary
Pusle Helmuth,female,secretary
Ave Maria Mõistlik,female,secretary
Davorjanka Paunović,female,secretary
Vasileios Georgiadis,male,secretary
Q12876000,male,secretary
Christoforos Zachariadis,male,secretary
"Dhani Nivat of Thailand, Prince Bidyalabh Bridhyakon",male,secretary
Hector fan Glinstra,male,secretary
Erich Dams,male,secretary
Gavin Arthur,male,secretary
Maskoen Soemadiredja,male,secretary
Petra Quittová,female,secretary
Bernd Gottfriedsen,male,secretary
Sonja Schlesin,female,secretary
Isabel Lyon,female,secretary
Charles Chincholle,male,secretary
Jean-Baptiste-Denis Després,male,secretary
Emanuel Ledvinka,male,secretary
Giuseppe Paolucci,male,secretary
Achim Meerkamp,male,secretary
Anna Demuth,female,secretary
Beate Mensch,female,secretary
Tilmann Kenckel,male,secretary
Willem Jan d'Ablaing van Giessenburg,male,secretary
