humanLabel,genderLabel,label
Friedrich Wilhelm Ahnefeld,male,physician
Gholam Sehhati-Chafai,male,physician
Gottfried Benad,male,physician
Ivan Magill,male,physician
Klaus Ackern,male,physician
Jean Emily Henley,female,physician
Jorge Antonio Aldrete,male,physician
Karl-Georg Pulver,male,physician
Karl Horatz,male,physician
Leo Latasch,male,physician
Martin Zindler,male,physician
Otto Roth,male,physician
Peter Lawin,male,physician
Robert Reynolds Macintosh,male,physician
Ron Wyatt,male,physician
Tom Hornbein,male,physician
Uwe Schulte-Sasse,male,physician
Werner Sauerwein,male,physician
Bob Smalhout,male,physician
Claire Noblia,female,physician
Jean-Jacques Charbonier,male,physician
Jean Lassner,male,physician
Louis Lareng,male,physician
Pierre Huguenard,male,physician
Viliam Klimáček,male,physician
Q4181131,male,physician
Anatoly Zilber,male,physician
Amjad Mohammed Khan,male,physician
Andrew Doughty,male,physician
Aryeh Shander,male,physician
Brian Roet,male,physician
David L. Reich,male,physician
David Sherer,male,physician
Emily Siedeberg,female,physician
Eric Anson,male,physician
Geoffrey Kaye,male,physician
Harold Griffith,male,physician
Henry Edmund Gaskin Boyle,male,physician
Henry K. Beecher,male,physician
Richard Gordon,male,physician
Robert G. Hahn,male,physician
Martin H:son Holmdahl,male,physician
Luis Montes,male,physician
Miguel Ángel Nalda Felipe,male,physician
Jesse M. Ehrenfeld,male,physician
John Bonica,male,physician
Juan Maeso,male,physician
Kevin Fong,male,physician
Leonid Eidelman,male,physician
Mark Porter,male,physician
Michael Roizen,male,physician
Philip H. Sechzer,male,physician
Richard von Foregger,male,physician
Ronald W. Dworkin,male,physician
Samuel L. Stanley,male,physician
Sara J. Dent,female,physician
Thomas Cecil Gray,male,physician
Yoshitaka Fujii,male,physician
Oliveiros Guanais,male,physician
Kappei Matsumoto,male,physician
Hirosato Kikuchi,male,physician
Hidenori Toyooka,male,physician
Barbara Makowska-Witkowska,female,physician
Krystian Niełacny,male,physician
Mieczysław Justyna,male,physician
Janne Reitala,male,physician
Jiří Štětina,male,physician
Q12162363,male,physician
Jüri Samarütel,male,physician
Thoma Ionescu,male,physician
Drago Hočevar,male,physician
Lorraine Hanlon,female,physician
Hugo Van Aken,male,physician
John Dundee,male,physician
Jan Gullberg,male,physician
John Silas Lundy,male,physician
Lukas Radbruch,male,physician
Rudolf Frey,male,physician
Charles A. Vacanti,male,physician
Ralph M. Waters,male,physician
Emanuel Papper,male,physician
Hans von Gersdorff,male,physician
Govert Bidloo,male,physician
Georg Händel,male,physician
Giovanni Battista Vivaldi,male,physician
Johann Josef Anton Eleazar Kittel,male,physician
Joseph Kirchhoffs,male,physician
Alaiza Pashkievich,female,physician
Barber surgeon of Avebury,male,physician
Q4054800,male,physician
Vasily Banykin,male,physician
Q4102118,female,physician
Nicolas Deleau,male,physician
Foma Ivanov,male,physician
Nikolay Litvinov,male,physician
Yelena Oshanina,female,physician
Jānis Tutins,male,physician
Elna Hansson,female,physician
Elinor Sneshell,female,physician
Christopher Schröder,male,physician
Franciszek Chrószcz,male,physician
Q9351950,male,physician
Q9351950,male,physician
Mikhail Ivasyuk,male,physician
Heinrich Walder,male,physician
Andries de Wilde,male,physician
Q15613728,male,physician
Q15623069,male,physician
Aleksandra Sevastyanova,female,physician
Q19673279,male,physician
Josef Baumann,male,physician
Dzhems Chulkov,male,physician
Marc David Lavie,male,physician
Q23655909,female,physician
Svetlana Maksimova,female,physician
Yu Woo-sung,male,physician
Ferdinand Rodenbach,male,physician
Kaspar Bernauer,male,physician
Irina Getmanenko,female,physician
Q30958865,male,physician
Heinrich Lochmann,male,physician
Jean Petit,male,physician
Q52384951,male,physician
Georg Merklein,male,physician
Zacharias Scheda,male,physician
Michael Gottfried Wittwer,male,physician
Christoph Spohr,male,physician
Johann Gottfried Busse,male,physician
Josef Koch von und zu Thanheimb,male,physician
Adrien Simon Boy,male,physician
Heinrich Lobenstock,male,physician
Q61738344,male,physician
Q62089238,male,physician
Jan van Arenbergh,male,physician
Johannes Koenerding,male,physician
Q91247565,female,physician
Jeremias Nicolai,male,physician
Johann Christoph Nicolai,male,physician
Johann Trincott,male,physician
Johann Lorenz Spix,male,physician
Wolfgang Achilles Freiherr von Wieser,male,physician
Christian Ehrenfried Lehmann,male,physician
Hanns Leutkirchner,male,physician
Veit Lutz,male,physician
Johann Schneider,male,physician
Michael Lochmann,male,physician
Hanns Leutkirchner,male,physician
Matthäus Leutkirchner,male,physician
Eduard Becker,male,physician
Maxmilián Walloch,male,physician
Matthaeus Algaier,male,physician
Hans Kerschenesser,male,physician
Tadeáš Dvorský,male,physician
Amelina Mathilda Sterky,female,physician
Fekla Donetska,female,physician
Hans Kiersted,male,physician
Stanisława Bussold,female,physician
Liborius Karafiat,male,physician
Ludwig Wick,male,physician
Q105627282,male,physician
François de Barnoin,male,physician
Q107519052,male,physician
David Lingelbach,male,physician
Jacob Sammers,male,physician
Herman Rudolf Stapelmoor,male,physician
Johann Conrad Friedrich Brandhorst,male,physician
Q108661265,female,physician
Q109491096,male,physician
Rashko Hadzhistoychev,male,physician
Carl Lindh,male,physician
Q115916556,male,physician
Lars Adolf Palander,male,physician
Magnus Hedin,male,physician
Johan Örn,male,physician
Q129175625,male,physician
Johan Meinicke,male,physician
Johann Jacob Seyberth,male,physician
Q133458829,female,physician
Q135231209,male,physician
Bennet Abraham,male,physician
Menno Sluijter,male,physician
Selma Calmes,female,physician
Steven D. Waldman,male,physician
Liudmyla Sheremet,female,physician
Oleksii Moibenko,male,physician
Gabor B. Racz,male,physician
Steven Shafer,male,physician
Maurice Andrieu,male,physician
Rickard William Lloyd,male,physician
Clair Mills Callan,female,physician
Ban Tsui,male,physician
Stefan Kutzsche,male,physician
Leonard Azamfirei,male,physician
Hans Zipf,male,physician
Uwe Kreimeier,male,physician
Catherine de Jong,female,physician
Massey Dawkins,male,physician
Edgar Alexander Pask,male,physician
Piet Admiraal,male,physician
Frederick William Hewitt,male,physician
Mirosław Ryba,male,physician
Klaus Peter,male,physician
Otto Mayrhofer-Krammel,male,physician
Thomas Sitte,male,physician
Alfred Doenicke,male,physician
Edömér Tassonyi,male,physician
Q20508594,male,physician
Alvard Gasparyan,female,physician
Olaitan Soyannwo,female,physician
Ryō Ogawa,male,physician
Martín Luis Quirós Palau,male,physician
Sayed Bozorg Mahmoody,male,physician
Carla Nau,female,physician
Thea Koch,female,physician
Gilbert Reynolds Troup,male,physician
Gian Paolo Novelli,male,physician
Ian McDonald,male,physician
Alicja Kaczorowska,female,physician
Hans-Joachim Priebe,male,physician
János Aranyosi,male,physician
Kelly McQueen,female,physician
Pál Keszler,male,physician
Gordon Jackson Rees,male,physician
Mechtild Schröder,female,physician
Detlev Michael Albrecht,male,physician
Maurice James Wilson Sando,male,physician
Joachim Hoitz,male,physician
Giovanni Leonardis,male,physician
Mervyn Maze,male,physician
Kostja Steiner,male,physician
Brijendra Kumar Rao,male,physician
William Albert Cobb,male,physician
John Adriani,male,physician
Werner Klingler,male,physician
Zaccaria Ricci,male,physician
Q28703067,male,physician
Jerzy Wordliczek,male,physician
Jamil Rahmani,male,physician
Idit Matot,female,physician
Margaret Branthwaite,female,physician
Peter Hutton,male,physician
Keith Sykes,male,physician
John W. Severinghaus,male,physician
Tsutomu Oyama,male,physician
Q29883924,male,physician
Carol A. Warfield,female,physician
Roger Moore,male,physician
Hideo Yamamura,male,physician
Jerome Adams,male,physician
Q31447756,male,physician
Bernard Némitz,male,physician
Dorothea Duda,female,physician
Ornella Piazza,female,physician
Meaghan C. Creed,female,physician
Laurence Weinberg,male,physician
Markus Klimek,male,physician
Maurizio Cecconi,male,physician
Christian Pozzo di Borgo,male,physician
Habib Md Reazaul Karim,male,physician
Alan Merry,male,physician
Maria Oliveras i Collellmir,female,physician
Martin Widmann,male,physician
Jan Bláha,male,physician
Harald V Genzwuerker,male,physician
Olof Norlander,male,physician
Ulrich Goebel,male,physician
Chien-Kun Ting,male,physician
Eugen Adelsmayr,male,physician
Mark Coburn,male,physician
Peter Biro,male,physician
Samuel DeMaria,male,physician
Jan Benes,male,physician
G. C. Fisk,male,physician
Giuseppe Citerio,male,physician
Rebecca D Minehart,female,physician
Kate Leslie,female,physician
Jacob Steinmetz,male,physician
Michael Lichtwarck-Aschoff,male,physician
Venko Aleksandrov,male,physician
Marie Unna,female,physician
Brian S Freeman,male,physician
Peter Marhofer,male,physician
Chi-Yuan Li,male,physician
Michael Rosen,male,physician
Alastair Spence,male,physician
Liam Brennan,male,physician
Cedric Prys-Roberts,male,physician
Judith Hulf,female,physician
Donald Campbell,male,physician
William W. Mushin,male,physician
Ruth Gattiker,female,physician
Archibald Daniel Marston,male,physician
Peter Nightingale,male,physician
J. P. van Besouw,male,physician
Frederick Fox Cartwright,male,physician
Yves Moens,male,physician
J. Edmund Riding,male,physician
John F. Nunn,male,physician
Leo Strunin,male,physician
Mohamed Farid Md Rafik,male,physician
David L. Brown,male,physician
Kunio Suwa,male,physician
Pavel Ševčík,male,physician
Philip M. Hopkins,male,physician
Pierre-Éric Danin,male,physician
Ludmil Mitrev,male,physician
Steffen Wirth,male,physician
Paul Barach,male,physician
Sebastian Heinrich,male,physician
Marc Danguy des Déserts,male,physician
Gertie F. Marx,female,physician
Leo Havers,male,physician
Mark E. Thompson,male,physician
Petr Štourač,male,physician
Sapna R. Kudchadkar,female,physician
Alain Vuylsteke,male,physician
James Cheeseman,male,physician
Kateřina Beranová,female,physician
Simon Finfer,male,physician
Joseph Francis Artusio,male,physician
Jan Rulisek,male,physician
Hans-Joachim Wilke,male,physician
Eun-Ho Lee,male,physician
Ehren Nelson,male,physician
Carlos Enrique Curiel Herrera,male,physician
Pavel Michálek,male,physician
Steven J. Weisman,male,physician
Zulema Tomás,female,physician
Ross K Kerridge,male,physician
Jane C. Ballantyne,female,physician
Rachel A. Reed,female,physician
Britta S. von Ungern-Sternberg,female,physician
Giuseppe Foti,male,physician
Daniel Raftery,male,physician
Christopher M Burkle,male,physician
Gregory A Nuttall,male,physician
Maria Rondomańska,female,physician
Ago Kõrgvee,male,physician
Brian Bateman,male,physician
Richard Harris,male,physician
Carin Hagberg,female,physician
Eugene K. Choo,male,physician
Jens Scholz,male,physician
Robert Reneman,male,physician
Mónica García Gómez,female,physician
Margarita Alexandrovna Vyzhigina,female,physician
Nina Trekova,female,physician
Luciano Gattinoni,male,physician
Zsuzsanna Frankfurter,female,physician
Michal Moravec,male,physician
Hynek Říha,male,physician
Joyce Bourne Kennedy,female,physician
Miklos David Kertai,male,physician
Rosalba Romano,female,physician
Robert Šachl,male,physician
Michal Lipš,male,physician
Martin Stříteský,male,physician
Tomáš Vaněk,male,physician
Dezső Embey-Isztin,male,physician
Silver Sarapuu,male,physician
Alparslan Turan,male,physician
Andrea Kurz,female,physician
Mojca Drnovšek Globokar,female,physician
Darinka Soban,female,physician
Lucie Ceccaldi,female,physician
Salvatore Vagnoni,male,physician
John Gillies,male,physician
Jeanne Collison,female,physician
János Fazakas,male,physician
Giandomenico Luigi Biancofiore,male,physician
Harry Cunningham Churchill-Davidson,male,physician
Giampiero Giron,male,physician
Vladimír Lemon,male,physician
Marcel Rigaud,male,physician
Zdeněk Turek,male,physician
Jan Neiser,male,physician
Martin Kulla,male,physician
Mark E Henry,male,physician
Michael Sharpe,male,physician
Hannah Emily Reid,female,physician
Kelly Ann Machovec,female,physician
Q111694250,male,physician
Q111745412,male,physician
Q111971996,female,physician
Miroslav Klain,male,physician
Horst Stoeckel,male,physician
Karel Zítko,male,physician
Anna Kšírová,female,physician
Jaroslav Štimpl,male,physician
Michal Hájek,male,physician
Martin Kutěj,male,physician
Jaroslav Jadrný,male,physician
Eduard Kasal,male,physician
Zdeněk Bystřický,male,physician
Gilbert Brown,male,physician
Luděk Zikmund,male,physician
Thomas Harry Seldon,male,physician
Stevens J. Martin,male,physician
Robert Pleskot,male,physician
Tomáš Kadlic,male,physician
Vladimír Mareš,male,physician
Martin Jöhr,male,physician
Jonathan L. Benumof,male,physician
Jeffrey Katz,male,physician
Lawrence J. Saidman,female,physician
Josef Bárta,male,physician
Wolfgang Dick,male,physician
Zbyněk Toman,male,physician
Antonín Štembera,male,physician
Jiří Mach,male,physician
David Štěpánek,male,physician
Max Samuel Sadove,male,physician
Donald Emerson Hale,male,physician
Nadia Du Bouchet,female,physician
Ladislav Fildán,male,physician
Karl Träger,male,physician
Štefan Trenkler,male,physician
Peter Radermacher,male,physician
Walter Hasibeder,male,physician
Daniel Nalos,male,physician
Josef Briegel,male,physician
Ondrej Bohuš,male,physician
James Patrick Payne,male,physician
Miloslav Hrdlica,male,physician
Manfred Schädlich,male,physician
Frédéric Chaussoy,male,physician
G. Edward Morgan,male,physician
Michael James Murray,male,physician
Robert Moors Smith,male,physician
Sigurd Fasting,male,physician
Bohumil Bakalář,male,physician
