humanLabel,genderLabel,label
Abdul Aziz Mollazadeh,male,lawyer
Ibrahim Mukhtar,male,lawyer
Mehmet Emin Aga,male,lawyer
Zekeriya Beyaz,male,lawyer
Hasan Fahri Polat,male,lawyer
Ibn al-Ḥājib,male,lawyer
İbnü'l-Annabi,male,lawyer
Ğäbdelwahit Söläymanof,male,lawyer
H'Mida Lamali,male,lawyer
Abdul Qayyum Hazarvi,male,lawyer
Q6779535,male,lawyer
Mufti Sadruddin Khan,male,lawyer
Q6821730,male,lawyer
Mizanur Rahman Sayed,male,lawyer
Mohammed Tahir al-Husayni,male,lawyer
Mahmood Hasan Gangohi,male,lawyer
Munir Shakir,male,lawyer
Muhammad Faizullah,male,lawyer
Hassan Ahmad,male,lawyer
Sanusi Mahmood,male,lawyer
Wan Zahidi Wan Teh,male,lawyer
Shabbir Ahmad Usmani,male,lawyer
Mufti Abdur Rahim,male,lawyer
Syeikh Abdullah Fahim,male,lawyer
Zar Wali Khan,male,lawyer
Emirali Ablayev,male,lawyer
Q12179052,male,lawyer
Q12179084,male,lawyer
Asbagh ibn al-Faraj,male,lawyer
Q12189182,male,lawyer
Sadiq Al-Ghariani,male,lawyer
Al-Mahdi al-Wazzani,male,lawyer
Q12207066,male,lawyer
Khaled Al Mosleh,male,lawyer
Sālim al-Sanhūrī,male,lawyer
Said Karmi,male,lawyer
Abdul Rachid Soufi,male,lawyer
Abdul Ghani Al-Jamil,male,lawyer
Abdullah Sufan al-Qaddumi,male,lawyer
Albert Ho,male,lawyer
Digby Jones,male,lawyer
Ronald Arculli,male,lawyer
John Howard,male,lawyer
William Eagle Clarke,male,lawyer
Ignaz von Sonnleithner,male,lawyer
Christoph Sonnleithner,male,lawyer
David Lloyd George,male,lawyer
Edward A. O'Neal,male,lawyer
"Tim Razzall, Baron Razzall",male,lawyer
Harriet Harman,female,lawyer
James Wharton,male,lawyer
James Brokenshire,male,lawyer
Fiona Bruce,female,lawyer
Bill Cash,male,lawyer
William Main Page,male,lawyer
Sydney Silverman,male,lawyer
Jonathan Djanogly,male,lawyer
Maria Eagle,female,lawyer
Charlie Elphicke,male,lawyer
Gary Streeter,male,lawyer
Malcolm Rifkind,male,lawyer
David Mundell,male,lawyer
"David Hunt, Baron Hunt of Wirral",male,lawyer
Winnie Ewing,female,lawyer
Timothy Kirkhope,male,lawyer
Sadiq Khan,male,lawyer
"Gloria Hooper, Baroness Hooper",female,lawyer
"David Young, Baron Young of Graffham",male,lawyer
"Sayeeda Warsi, Baroness Warsi",female,lawyer
Fiona Shackleton,female,lawyer
John Stevenson,male,lawyer
Craig Thomson,male,lawyer
Edward Martin,male,lawyer
George Edalji,male,lawyer
Sheila Gilmore,female,lawyer
Robert Spence Watson,male,lawyer
Leneen Forde,female,lawyer
Tony O'Reilly,male,lawyer
Anjem Choudary,male,lawyer
Ashley Fox,male,lawyer
Helen Coonan,female,lawyer
"Andrew Phillips, Baron Phillips of Sudbury",male,lawyer
Gareth Peirce,female,lawyer
Ebenezer Sekyi-Hughes,male,lawyer
Ray Groom,male,lawyer
Oliver Napier,male,lawyer
Sámuel Ajtay,male,lawyer
Nicky Morgan,female,lawyer
Charles P. Dixon,male,lawyer
Ian Lucas,male,lawyer
Philip Edward Archer,male,lawyer
Simon Geoghegan,male,lawyer
Alajos Balogh,male,lawyer
Károly Barcsay,male,lawyer
Lajos Bruz,male,lawyer
Boldizsár Bárány,male,lawyer
Emil Böszörményi,male,lawyer
C. J. Sansom,male,lawyer
John W. Bricker,male,lawyer
Ferenc Dáni,male,lawyer
Dermot Ahern,male,lawyer
Lajos Dömény,male,lawyer
Dezső Engelberg,male,lawyer
Tamás Gaudi-Nagy,male,lawyer
"David Gold, Baron Gold",male,lawyer
"Denise Kingsmill, Baroness Kingsmill",female,lawyer
János Paczolay,male,lawyer
Earl T. Wagner,male,lawyer
Béla Turi-Kovács,male,lawyer
Herbert Roper Barrett,male,lawyer
Joseph Abrahams,male,lawyer
Neville Wran,male,lawyer
Pál Völner,male,lawyer
Gavin Brown,male,lawyer
Anna Wu,female,lawyer
Ian Gow,male,lawyer
"Jeremy Beecham, Baron Beecham",male,lawyer
John Button,male,lawyer
John McCallum,male,lawyer
"Timothy Clement-Jones, Baron Clement-Jones",male,lawyer
"Peter Bowness, Baron Bowness",male,lawyer
Richard Alexander,male,lawyer
Roy Fuller,male,lawyer
"Sally Hamwee, Baroness Hamwee",female,lawyer
Samuel Roberts,male,lawyer
Thomas E. Martin,male,lawyer
Thomas Ley,male,lawyer
Ebenezer Cobb Morley,male,lawyer
Crispin Joynson-Hicks,male,lawyer
Alhaji Bai Modi Joof,male,lawyer
Benjamin Lumley,male,lawyer
Paddy Mayne,male,lawyer
John Alexander Tilleard,male,lawyer
Joni Madraiwiwi,male,lawyer
Xulio López Valcárcel,male,lawyer
Ann McKechin,female,lawyer
Catherine McKinnell,female,lawyer
Rupert Hamer,male,lawyer
Paul Tse,male,lawyer
Thomas Byrnes,male,lawyer
Thomas Hollway,male,lawyer
Sally Clark,female,lawyer
William Bede Dalley,male,lawyer
Karo Karapetyan,male,lawyer
David Sumberg,male,lawyer
Adam Bruce,male,lawyer
Adrian Davies,male,lawyer
Adrian Piccoli,male,lawyer
Adrian Solomons,male,lawyer
Alan Hurst,male,lawyer
Alan Loxton,male,lawyer
Alan Missen,male,lawyer
Albert Gould,male,lawyer
Alex Donnelly,male,lawyer
Alexander MacEwan,male,lawyer
Alexander John McLachlan,male,lawyer
Andrew Cayley,male,lawyer
Andrew Gee,male,lawyer
Andrew Hopper,male,lawyer
Andrew Thomson,male,lawyer
Andy McDonald,male,lawyer
Angus Diggle,male,lawyer
Annastacia Palaszczuk,female,lawyer
Anne-Marie Hutchinson,female,lawyer
Anthony Favell,male,lawyer
Anthony Salz,male,lawyer
Anthony Sumption,male,lawyer
Antoinette Sandbach,female,lawyer
"Arnold Goodman, Baron Goodman",male,lawyer
Arnold Muir Wilson,male,lawyer
Arthur Munby,male,lawyer
Arthur Robinson,male,lawyer
Arthur Stanley Williams,male,lawyer
Aubone Surtees,male,lawyer
Austin Lewis,male,lawyer
Barry Collier,male,lawyer
Belinda Neal,female,lawyer
Ben Unwin,male,lawyer
Benjamin Benny,male,lawyer
Benjamin Hicklin,male,lawyer
Bertram McGowan,male,lawyer
Bill Bourke,male,lawyer
Brad Hazzard,male,lawyer
Brinley Richards,male,lawyer
Bronwyn Bishop,female,lawyer
Bruce Douglas-Mann,male,lawyer
Bruce Liu,male,lawyer
Carol Adams,female,lawyer
Catherine Holmes,female,lawyer
Cecil Franks,male,lawyer
Charles Kesteven,male,lawyer
Charles Morgan,male,lawyer
Charles Stone,male,lawyer
"Charles Swinfen Eady, 1st Baron Swinfen",male,lawyer
Chris Trevor,male,lawyer
Clancy Rudeforth,male,lawyer
Con Sciacca,male,lawyer
Cornelius Ahern,male,lawyer
Cyril Croker,male,lawyer
Danna Vale,female,lawyer
Daryl Melham,male,lawyer
David Allen Green,male,lawyer
David Aukin,male,lawyer
David Hall,male,lawyer
David Heath,male,lawyer
David Henry Stone,male,lawyer
David Johnston,male,lawyer
David Kidney,male,lawyer
David Kirby,male,lawyer
David Lewis,male,lawyer
