Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,4,14,0,0,28.57%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,17,17,0.00%,100.00%
auditor,0,0,13,13,0.00%,100.00%
baker,0,0,12,15,0.00%,80.00%
carpenter,0,16,0,0,0.00%,0.00%
cashier,0,0,10,14,0.00%,71.43%
ceo,0,11,0,0,0.00%,0.00%
chief,3,15,0,0,20.00%,0.00%
cleaner,0,0,10,15,0.00%,66.67%
clerk,0,0,9,13,0.00%,69.23%
construction worker,0,13,0,0,0.00%,0.00%
cook,5,16,0,0,31.25%,0.00%
counselor,0,0,17,17,0.00%,100.00%
designer,0,0,9,14,0.00%,64.29%
developer,1,14,0,0,7.14%,0.00%
driver,1,15,0,0,6.67%,0.00%
editor,0,0,14,16,0.00%,87.50%
farmer,2,14,0,0,14.29%,0.00%
guard,10,14,0,0,71.43%,0.00%
hairdresser,0,0,5,14,0.00%,35.71%
housekeeper,0,0,0,14,0.00%,0.00%
janitor,0,17,0,0,0.00%,0.00%
laborer,6,13,0,0,46.15%,0.00%
lawyer,1,17,0,0,5.88%,0.00%
librarian,0,0,13,14,0.00%,92.86%
manager,0,13,0,0,0.00%,0.00%
mechanic,13,15,0,0,86.67%,0.00%
mover,0,15,0,0,0.00%,0.00%
nurse,0,0,12,14,0.00%,85.71%
physician,7,15,0,0,46.67%,0.00%
receptionist,0,0,7,16,0.00%,43.75%
salesperson,2,15,0,0,13.33%,0.00%
secretary,0,0,13,13,0.00%,100.00%
sheriff,0,16,0,0,0.00%,0.00%
supervisor,8,15,0,0,53.33%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,11,15,0.00%,73.33%
writer,0,0,5,14,0.00%,35.71%
