Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,11,16,0,0,68.75%,0.00%
analyst,0,0,1,14,0.00%,7.14%
assistant,10,13,0,0,76.92%,0.00%
attendant,7,17,0,0,41.18%,0.00%
auditor,10,13,0,0,76.92%,0.00%
baker,13,15,0,0,86.67%,0.00%
carpenter,0,0,5,16,0.00%,31.25%
cashier,10,14,0,0,71.43%,0.00%
ceo,0,0,1,11,0.00%,9.09%
chief,0,0,0,15,0.00%,0.00%
cleaner,6,15,0,0,40.00%,0.00%
clerk,5,13,0,0,38.46%,0.00%
construction worker,0,0,2,13,0.00%,15.38%
cook,0,0,7,16,0.00%,43.75%
counselor,11,17,0,0,64.71%,0.00%
designer,12,14,0,0,85.71%,0.00%
developer,0,0,2,14,0.00%,14.29%
driver,0,0,4,15,0.00%,26.67%
editor,14,16,0,0,87.50%,0.00%
farmer,0,0,4,14,0.00%,28.57%
guard,0,0,12,14,0.00%,85.71%
hairdresser,6,14,0,0,42.86%,0.00%
housekeeper,10,14,0,0,71.43%,0.00%
janitor,0,0,17,17,0.00%,100.00%
laborer,0,0,2,13,0.00%,15.38%
lawyer,0,0,4,17,0.00%,23.53%
librarian,12,14,0,0,85.71%,0.00%
manager,0,0,3,13,0.00%,23.08%
mechanic,0,0,1,15,0.00%,6.67%
mover,0,0,4,15,0.00%,26.67%
nurse,5,14,0,0,35.71%,0.00%
physician,0,0,3,15,0.00%,20.00%
receptionist,9,16,0,0,56.25%,0.00%
salesperson,0,0,5,15,0.00%,33.33%
secretary,6,13,0,0,46.15%,0.00%
sheriff,0,0,16,16,0.00%,100.00%
supervisor,0,0,3,15,0.00%,20.00%
tailor,9,16,0,0,56.25%,0.00%
teacher,11,15,0,0,73.33%,0.00%
writer,9,14,0,0,64.29%,0.00%
