Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,12,21,0.00%,57.14%
analyst,7,19,0,0,36.84%,0.00%
assistant,0,0,15,19,0.00%,78.95%
attendant,0,0,16,20,0.00%,80.00%
auditor,0,0,13,19,0.00%,68.42%
baker,0,0,15,20,0.00%,75.00%
carpenter,18,20,0,0,90.00%,0.00%
cashier,0,0,16,20,0.00%,80.00%
ceo,14,18,0,0,77.78%,0.00%
chief,13,20,0,0,65.00%,0.00%
cleaner,0,0,16,20,0.00%,80.00%
clerk,0,0,11,20,0.00%,55.00%
construction worker,14,20,0,0,70.00%,0.00%
cook,13,20,0,0,65.00%,0.00%
counselor,0,0,10,20,0.00%,50.00%
designer,0,0,11,20,0.00%,55.00%
developer,18,20,0,0,90.00%,0.00%
driver,15,20,0,0,75.00%,0.00%
editor,0,0,13,20,0.00%,65.00%
farmer,13,20,0,0,65.00%,0.00%
guard,13,19,0,0,68.42%,0.00%
hairdresser,0,0,12,20,0.00%,60.00%
housekeeper,0,0,15,19,0.00%,78.95%
janitor,14,21,0,0,66.67%,0.00%
laborer,17,20,0,0,85.00%,0.00%
lawyer,12,20,0,0,60.00%,0.00%
librarian,0,0,13,20,0.00%,65.00%
manager,12,19,0,0,63.16%,0.00%
mechanic,14,20,0,0,70.00%,0.00%
mover,15,20,0,0,75.00%,0.00%
nurse,0,0,15,20,0.00%,75.00%
physician,15,20,0,0,75.00%,0.00%
receptionist,0,0,12,20,0.00%,60.00%
salesperson,9,20,0,0,45.00%,0.00%
secretary,0,0,14,19,0.00%,73.68%
sheriff,9,20,0,0,45.00%,0.00%
supervisor,8,20,0,0,40.00%,0.00%
tailor,0,0,15,20,0.00%,75.00%
teacher,0,0,12,20,0.00%,60.00%
writer,0,0,12,19,0.00%,63.16%
