Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,12,14,0,0,85.71%,0.00%
assistant,0,0,12,13,0.00%,92.31%
attendant,0,0,13,17,0.00%,76.47%
auditor,0,0,12,13,0.00%,92.31%
baker,0,0,12,15,0.00%,80.00%
carpenter,14,16,0,0,87.50%,0.00%
cashier,0,0,12,14,0.00%,85.71%
ceo,11,11,0,0,100.00%,0.00%
chief,14,15,0,0,93.33%,0.00%
cleaner,0,0,12,15,0.00%,80.00%
clerk,0,0,10,13,0.00%,76.92%
construction worker,13,13,0,0,100.00%,0.00%
cook,16,16,0,0,100.00%,0.00%
counselor,0,0,13,17,0.00%,76.47%
designer,0,0,12,14,0.00%,85.71%
developer,14,14,0,0,100.00%,0.00%
driver,15,15,0,0,100.00%,0.00%
editor,0,0,16,16,0.00%,100.00%
farmer,11,14,0,0,78.57%,0.00%
guard,11,14,0,0,78.57%,0.00%
hairdresser,0,0,12,14,0.00%,85.71%
housekeeper,0,0,10,14,0.00%,71.43%
janitor,13,17,0,0,76.47%,0.00%
laborer,6,13,0,0,46.15%,0.00%
lawyer,17,17,0,0,100.00%,0.00%
librarian,0,0,10,14,0.00%,71.43%
manager,13,13,0,0,100.00%,0.00%
mechanic,13,15,0,0,86.67%,0.00%
mover,13,15,0,0,86.67%,0.00%
nurse,0,0,13,14,0.00%,92.86%
physician,14,15,0,0,93.33%,0.00%
receptionist,0,0,11,16,0.00%,68.75%
salesperson,13,15,0,0,86.67%,0.00%
secretary,0,0,11,13,0.00%,84.62%
sheriff,13,16,0,0,81.25%,0.00%
supervisor,15,15,0,0,100.00%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,15,15,0.00%,100.00%
writer,0,0,12,14,0.00%,85.71%
