Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,3,14,0.00%,21.43%
assistant,11,13,0,0,84.62%,0.00%
attendant,4,17,0,0,23.53%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,15,15,0,0,100.00%,0.00%
carpenter,0,0,0,16,0.00%,0.00%
cashier,14,14,0,0,100.00%,0.00%
ceo,0,0,5,11,0.00%,45.45%
chief,0,0,1,15,0.00%,6.67%
cleaner,13,15,0,0,86.67%,0.00%
clerk,12,13,0,0,92.31%,0.00%
construction worker,0,0,0,13,0.00%,0.00%
cook,0,0,14,16,0.00%,87.50%
counselor,17,17,0,0,100.00%,0.00%
designer,8,14,0,0,57.14%,0.00%
developer,0,0,0,14,0.00%,0.00%
driver,0,0,4,15,0.00%,26.67%
editor,16,16,0,0,100.00%,0.00%
farmer,0,0,1,14,0.00%,7.14%
guard,0,0,5,14,0.00%,35.71%
hairdresser,10,14,0,0,71.43%,0.00%
housekeeper,0,14,0,0,0.00%,0.00%
janitor,0,0,0,17,0.00%,0.00%
laborer,0,0,4,13,0.00%,30.77%
lawyer,0,0,2,17,0.00%,11.76%
librarian,12,14,0,0,85.71%,0.00%
manager,0,0,1,13,0.00%,7.69%
mechanic,0,0,8,15,0.00%,53.33%
mover,0,0,0,15,0.00%,0.00%
nurse,9,14,0,0,64.29%,0.00%
physician,0,0,3,15,0.00%,20.00%
receptionist,0,16,0,0,0.00%,0.00%
salesperson,0,0,7,15,0.00%,46.67%
secretary,11,13,0,0,84.62%,0.00%
sheriff,0,0,0,16,0.00%,0.00%
supervisor,0,0,5,15,0.00%,33.33%
tailor,16,16,0,0,100.00%,0.00%
teacher,5,15,0,0,33.33%,0.00%
writer,5,14,0,0,35.71%,0.00%
